declaration,items,difficulty
NormedSpace.isBigO_exp_smul_add_sub_exp_smul_mul_exp_smul_mul_exp_lie,Exercise4_49,moderate
Real.XorMutualInfo.mutualInfo_xorDist_not_subadditive,Exercise11_8,moderate
Real.avgCollisionEntropy_ge,Theorem12_16,moderate
Real.avgCollisionEntropy_le_avgShannonEntropy,Theorem12_16,moderate
Real.condEntropy_law_chain,Theorem11_4,moderate
Real.condEntropy_marginalFstLast_le_condEntropyPairGivenLast,Problem11_3,moderate
Real.condEntropy_nonneg,Theorem11_3,moderate
Real.entropy_marginalFst_eq_iff_sndDeterminedByFst,Theorem11_3,moderate
Real.exists_card_typicalSeq_bounds,Theorem12_2,moderate
Real.exists_le_sum_typicalSeq,Theorem12_2,moderate
Real.exists_lt_universalHash_literalBound,Theorem12_16,moderate
Real.exists_reliable_compressionScheme,Theorem12_4,moderate
Real.exists_sum_prod_le_of_card_le_exp,Theorem12_2,moderate
Real.exists_typicalCode_expectedLength_le,Exercise12_5,moderate
Real.mutualInfo_eq_marginalSnd_iff_sndDeterminedByFst,Theorem11_3,moderate
Real.mutualInfo_le_marginalSnd,Theorem11_3,moderate
Real.mutualInfo_marginalFstMid_eq_marginalFst_iff,Theorem11_5,moderate
Real.mutualInfo_marginalFstMid_le_marginalFst,Theorem11_5,moderate
Real.not_forall_conditional_strong_subadditivity,Problem11_4,moderate
Real.not_reliable_compressionScheme,Theorem12_4,moderate
Real.prob_condCollisionEntropy_ge,Theorem12_17,moderate
Real.relativeEntropy_condEntropyRef_eq_zero_iff,Exercise11_7,moderate
Real.relativeEntropy_condEntropyRef_nonneg,Exercise11_7,moderate
Real.relativeEntropy_indepProd_eq,Exercise11_5,moderate
SpontaneousEmission.deriv_spontaneousDecayProb_eq_gammaRad,Exercise7_29,moderate
SpontaneousEmission.spontaneousDecayProb_eq_gammaRad_mul,Exercise7_29,moderate
ZMod.orderFinding_good_units_card_ge,Theorem5_3,moderate
generalized_klein_inequality,Problem11_1,moderate
majorize_iff_exists_sum_perm,Proposition12_11,moderate
majorize_iff_forall_tailSum,Exercise12_17,moderate
majorize_tail_update_of_antitone,Exercise12_19,moderate
AxQM.Concrete.StabilizerTableau.run_stabilizes,Theorem10_7_GottesmanKnill,large
AxQM.Concrete.checkRow_encodingCircuit_data,Problem10_3_EncodingStabilizer,large
AxQM.Concrete.checkRow_encodingCircuit_middle,Problem10_3_EncodingStabilizer,large
AxQM.Concrete.codeProjector_isCorrectableErrorSet,Theorem10_8,large
AxQM.Concrete.concat_stabilizedSubspace_finrank,Exercise10_62,large
AxQM.Concrete.dipolarCoupling_matrixSphericalAverage,Exercise7_35,large
AxQM.Concrete.encodingCircuit_standardForm_achievable,Problem10_3_EncodingStabilizer,large
AxQM.Concrete.fiveQubitCode_isCorrectableErrorSet,Exercise10_49,large
AxQM.Concrete.isPauliNormalizer_singleQubit_eq_smul_cliffordCircuit,Exercise10_40,large
AxQM.Concrete.locatedPauliErrors_isCorrectableErrorSet,Exercise10_45_LocatedErrors,large
AxQM.Concrete.locatedPauliErrors_isCorrectableErrorSet_of_dist_ge,Exercise10_45_LocatedErrors,large
AxQM.Concrete.phaseDampCNOTChannel_eq_phaseDampKrausTilde,Exercise8_28,large
AxQM.Concrete.phaseDampCNOTChannel_eq_phaseFlipChannel,Exercise8_28,large
AxQM.Concrete.stabilizerDistilledVec_error_corrected_of_weight_le,Exercise12_34,large
AxQM.Concrete.stabilizerDistilledVec_normSq_eq_two_pow,Exercise12_34,large
AxQM.Ensemble.IsMinimalFor.prob_eq_inv_pseudoInverseExpectation,Exercise2_73,large
AxQM.Ensemble.exists_orthonormalBasis_refMeasurement_recovers_ensemble,Exercise2_82,large
AxQM.Evolution.exists_pauliString_trotter_approximation_explicit,Problem4_3,large
AxQM.Measurement.IsProjective.vonNeumannEntropy_unreadState_eq_iff,Theorem11_9,large
AxQM.Measurement.IsProjective.vonNeumannEntropy_unreadState_ge,Theorem11_9,large
AxQM.Observable.exists_norm_prod_pauliStringHamiltonian_propagator_sub_le,Problem4_3,large
AxQM.PureState.bellCount_le_of_reducedLeft_loccConvertible,Exercise12_24,large
AxQM.PureState.isProduct_iff_isPure_reducedLeft,Exercise2_78,large
AxQM.PureState.isProduct_iff_isPure_reducedRight,Exercise2_78,large
AxQM.PureState.not_isProduct_iff_condVonNeumannEntropy_neg,Exercise11_14,large
AxQM.PureState.one_sub_fidelity_sq_le_traceDistance,Exercise9_21,large
AxQM.PureState.schmidtNumber_le_of_reducedLeft_loccConvertible,Exercise12_24,large
AxQM.State.LOCCConvertible_of_majorize,Exercise12_20,large
AxQM.State.abs_vonNeumannEntropy_sub_le_fannes,Theorem11_6,large
AxQM.State.abs_vonNeumannEntropy_sub_le_fannes_weak,Theorem11_6,large
AxQM.State.angle_eq_zero_iff,Exercise9_17,large
AxQM.State.angle_le_pi_div_two,Exercise9_17,large
AxQM.State.entropyMixLine_deriv2_nonpos_of_isStrictlyPositive,Exercise11_22,large
AxQM.State.fidelity_concaveLeft,Exercise9_20,large
AxQM.State.holevoChi_measState_eq_mutualInfo,Problem12_1,large
AxQM.State.isGreatest_classicalTraceDist_bornProb,Theorem9_1,large
AxQM.State.isGreatest_norm_overlap_purification,Theorem9_4,large
AxQM.State.isGreatest_norm_overlap_purification_fixed,Exercise9_15,large
AxQM.State.loccConvertible_iff_majorize,Theorem12_15,large
AxQM.State.maximallyMixedState_unique_maxEntropy,Exercise11_19,large
AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE,Theorem11_7,large
AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE,Theorem11_7,large
AxQM.State.reliablyCompressible_iff_vonNeumannEntropy_lt,Theorem12_6,large
AxQM.State.smallSubspace_bornProb_le,Theorem12_5,large
AxQM.State.sum_mul_fidelity_le_fidelity_mix,Exercise9_19,large
AxQM.State.sum_sqrt_mul_fidelity_le_fidelity_mix,Theorem9_7,large
AxQM.State.traceDistance_mix_le,Theorem9_3,large
AxQM.State.traceDistance_mix_left_convex,Exercise9_8,large
AxQM.State.traceDistance_mix_right_convex,Exercise9_8,large
AxQM.State.typicalSubspace_bornProb_ge,Theorem12_5,large
AxQM.State.vonNeumannEntropy_concave,Exercise11_22,large
AxQM.State.vonNeumannEntropy_jointEntropyTheorem,Theorem11_8,large
AxQM.State.vonNeumannEntropy_mix_eq_iff_orthogonal,Theorem11_10,large
AxQM.State.vonNeumannEntropy_mix_eq_sum_iff_forall_eq,Exercise11_18,large
AxQM.alternativeSearchHamiltonian_simulation_gateError_pow_le,Exercise6_12,large
AxQM.amplitudeDampingChannel_isLeast_fidelity,Exercise10_13,large
AxQM.arakiLiebEqualityState_vonNeumannEntropy_eq_reducedRight_sub_reducedLeft,Exercise11_17,large
AxQM.augmentedSearchOracle_marks_solution_and_zero,Exercise6_5,large
AxQM.b92_perfectly_correlated,Exercise12_28,large
AxQM.bellMeasurement_op_eq_bellMeasurementCircuit_conj,Exercise4_33,large
AxQM.bitFlipChannel_isFixedPt_blochState_iff,Exercise9_13,large
AxQM.bitFlipChannel_traceDistance_le,Exercise9_13,large
AxQM.catAncilla_single_fault_at_most_one_error,Exercise10_69,large
AxQM.catalysisState_not_loccConvertible,Exercise12_21,large
AxQM.catalysisState_tmul_loccConvertible,Exercise12_21,large
AxQM.ccontrolledUnitary_gateCount_le,Exercise4_22,large
AxQM.channelHolevoChi_eq_sSup_pureEnsemble,Exercise12_11,large
AxQM.channelHolevoChi_eq_sSup_pureLeCardEnsemble,Exercise12_11,large
AxQM.classicalCorr_arakiLieb_condition_not_sufficient,Exercise11_16,large
AxQM.cnotGate_conj_pauliYGate_onLeft,Exercise4_31,large
AxQM.cnotGate_conj_pauliYGate_onRight,Exercise4_31,large
AxQM.cnotGate_hadamardConj_evolvePure_qubitBasis,Exercise4_20,large
AxQM.controlledRk_eq_cnot_circuit,Exercise5_4,large
AxQM.deutschGate_conj_mem_deutschReachableEvolutions,Exercise4_44,large
AxQM.deutschOracleIdentity_bornProb,Exercise7_13,large
AxQM.deutschOracleNegation_bornProb,Exercise7_13,large
AxQM.dottedBoxCircuit_evolve_eq_conditionalPhaseShift,Exercise6_6,large
AxQM.encodedCnotGateTeleportation_identity,Problem10_5,large
AxQM.ensembleAvgFidelity_eq_one_iff,Exercise9_23,large
AxQM.exists_barenco5Circuit_eq_mcCtrl,Exercise4_28,large
AxQM.exists_barencoNCircuit_eq_mcCtrl,Exercise4_30,large
AxQM.exists_cnotEvolution_paritySyndrome,Exercise10_26,large
AxQM.exists_condEntropyPairGivenC_lt,Problem11_3,large
AxQM.exists_correctionChannel_of_decoupledLeftFactor,Exercise12_14,large
AxQM.exists_correction_of_decoupledLeftFactor,Exercise12_14,large
AxQM.exists_gateCircuit_twoLevelUnitaryCircuit,Exercise4_39,large
AxQM.exists_isMinimalFor_states_eq_of_memSupport,Exercise2_73,large
AxQM.exists_mem_specialOrthogonalGroup_unitaryGate_evolve_blochState,Exercise8_13,large
AxQM.exists_orthogonalCloningCircuit,Exercise12_1,large
AxQM.exists_twoQubitCircuit_eq_fredkinGate_five,Exercise4_25,large
AxQM.exists_twoQubitCircuit_eq_fredkinGate_six,Exercise4_25,large
AxQM.exists_unital_channel_not_isRandomUnitary,Problem8_3,large
AxQM.exists_vonNeumannMutualInfo_gt_reducedLeft_vonNeumannEntropy,Exercise11_26,large
AxQM.fiveEncodedZero_exists,Exercise10_74,large
AxQM.fiveEncodedZero_unique,Exercise10_74,large
AxQM.holevoChi_lt_holevoChi_clone,Problem12_2,large
AxQM.hspQueryState_reducedLeft_pi_hsOverlap_le_of_sampleCount,Problem5_5,large
AxQM.isQuantumOperation_iff_isOperatorSum,Theorem8_1,large
AxQM.linearOptics_deutschJozsa,Problem7_2,large
AxQM.linearOptics_twoQubitSearch,Problem7_2,large
AxQM.linearOptics_universal,Problem7_2,large
AxQM.localXParity_bornProb_eq_phaseFlipMeasurement,Exercise12_32,large
AxQM.measureObservableCircuitZError_sxCorrectionGate_eigenstatePlus,Exercise10_71,large
AxQM.measureObservableCircuit_pauliXGate_eq_hadamardConjReversedCnot,Exercise10_58,large
AxQM.measureObservableCircuit_pauliZGate_eq_reversedCnotGate,Exercise10_58,large
AxQM.measureObservableCircuit_xTypeGenerator_eq_fig1017Block,Exercise10_59,large
AxQM.measureObservableCircuit_zTypeGenerator_eq_fig1017Block,Exercise10_59,large
AxQM.measuredSwapCircuit1_corrected,Exercise10_65,large
AxQM.measuredSwapCircuit2_corrected,Exercise10_65,large
AxQM.mutualInfo_sicQubitState_lt_log_two,Exercise12_4,large
AxQM.nmrCnot_globalPhase_correction_eq_cnotGate,Exercise7_47,large
AxQM.nmrControlledZSequence_evolve_eq_controlledZGate,Exercise7_41,large
AxQM.nmrControlledZ_globalPhase_eq_controlledZGate,Exercise7_41,large
AxQM.nmrCoupledPairFID_eq,Exercise7_37,large
AxQM.nmrGroverOracleOne_eq_globalPhaseGate_comp,Exercise7_50,large
AxQM.nmrGroverOracleOne_evolve_eq_groverOracleOne,Exercise7_50,large
AxQM.nmrGroverOracleTwo_eq_globalPhaseGate_comp,Exercise7_50,large
AxQM.nmrGroverOracleTwo_evolve_eq_groverOracleTwo,Exercise7_50,large
AxQM.nmrGroverOracleZero_eq_globalPhaseGate_comp,Exercise7_50,large
AxQM.nmrGroverOracleZero_evolve_eq_groverOracleZero,Exercise7_50,large
AxQM.nmrSwapCircuit_evolve_eq_swap,Exercise7_49,large
AxQM.not_condEntropyPairGivenC_ge_condEntropyFirstGivenC_sub_condEntropySecondGivenC,Problem11_3,large
AxQM.not_strictlyContractive_bitFlipChannel,Exercise9_13,large
AxQM.orZeroError_bornProb_query_lower_bound,Exercise6_20,large
AxQM.oracleBellState_bornProb,Problem6_2,large
AxQM.partialCyclicPermCircuit_evolvePure_qubitBasis,Exercise4_27,large
AxQM.pauliDepolarizingChannel_fidelity_ket0,Exercise10_12,large
AxQM.pauliDepolarizingChannel_isLeast_fidelity,Exercise10_12,large
AxQM.pauliStringExpCircuit_op_eq_propagator,Problem4_3,large
AxQM.phaseFlipCode_satisfiesQECConditions,Exercise10_8,large
AxQM.phaseFlipCode_satisfiesQECConditions_fullErrorSet,Exercise10_9,large
AxQM.properNmrCnot_evolve_eq_cnotGate,Exercise7_47,large
AxQM.qftApprox_gateError_div_mem_Icc,Exercise5_6,large
AxQM.qftTowerEvolution_measure_postMeasurement_eq_towerKet,Problem5_2,large
AxQM.qubitClassicalSource_reliablyCompressible,Exercise12_7,large
AxQM.qubitClassicalSource_vonNeumannEntropy,Exercise12_7,large
AxQM.qubitDepolarizingChannel_blochState_traceDistance,Exercise9_12,large
AxQM.qubitDepolarizingChannel_strictlyContractive,Exercise9_12,large
AxQM.qubitDepolarizingChannel_traceDistance,Exercise9_12,large
AxQM.relativePhaseToffoliGate_relativePhaseEquiv_toffoliGate,Exercise4_26,large
AxQM.replaceMix_strictlyContractive,Exercise9_11,large
AxQM.rzThreeFifthsCircuit_bothZero_bornProb,Exercise4_41,large
AxQM.satisfiesQECConditions_iff_exists_correction,Theorem10_1,large
AxQM.schumacherBlock_fidelity,Exercise12_6,large
AxQM.searchHamiltonianMSolution_measure_yields_solution,Exercise6_11,large
AxQM.searchStepEvolution_exactSearch,Exercise6_10,large
AxQM.search_bornProb_averaged_success_imp_queries_ge,Exercise6_16,large
AxQM.search_bornProb_multi_solution_imp_queries_ge,Exercise6_17,large
AxQM.semiclassicalMeasuredQft_postMeasurement_eq_towerKet,Problem5_2,large
AxQM.shorCode_satisfiesQECConditions,Exercise10_10,large
AxQM.shorStabilizer_hasEigenstate_one_shorCodeword,Exercise10_47,large
AxQM.sixState_bornProb_mismatchedBasis_uncorrelated,Exercise12_29,large
AxQM.steaneLogicalZero_eq_of_stabilized,Exercise10_73_FTencodedState,large
AxQM.threeBitFlipNoise_satisfiesQECConditions,Exercise10_7,large
AxQM.threeQubitBitFlip_minFidelity,Exercise10_4,large
AxQM.toffoliAncillaStabX1_hasEigenstate_one,Exercise10_72_ToffoliAncilla,large
AxQM.toffoliAncillaStabX2_hasEigenstate_one,Exercise10_72_ToffoliAncilla,large
AxQM.toffoliAncillaStabZ3_hasEigenstate_one,Exercise10_72_ToffoliAncilla,large
AxQM.toffoliAncilla_eq_of_stabilized,Exercise10_72_ToffoliAncilla,large
AxQM.toffoliFig49Circuit_eq_toffoliGate,Exercise4_24,large
AxQM.traceDistance_channel_le,Theorem9_2,large
AxQM.traceDistance_qubitMix_xBasis,Exercise9_6,large
AxQM.traceDistance_qubitMix_zBasis,Exercise9_6,large
ContinuousLinearMap.IsDensityOp.quantumRelativeEntropy_nonneg_of_generalizedKlein,Problem11_1,large
ContinuousLinearMap.entanglementFidelity_ge_one_sub_of_subspace_fidelity,Problem9_3,large
ContinuousLinearMap.entropyExchange_channelMix_ge,Exercise12_13,large
ContinuousLinearMap.entropyExchange_le_binEntropy_entanglementFidelity_add,Theorem12_9,large
ContinuousLinearMap.isGLB_albertiProduct,Problem9_1,large
ContinuousLinearMap.quantumRelativeEntropy_jointConvex_of_subadditive_of_hasSupportLE,Problem11_2,large
ContinuousLinearMap.quantumRelativeEntropy_subadditive_of_jointConvex_of_hasSupportLE,Problem11_2,large
ContinuousLinearMap.satisfiesKLConditions_iff_exists_correction,Theorem10_1,large
ContinuousLinearMap.satisfiesOperationAxioms_iff_isOperatorSum,Theorem8_1,large
Matrix.IsHermitian.majorize_iff_exists_sum_smul_unitary_conj,Theorem12_13,large
Real.channelCapacity_channelComp_bscChannel_lt_min,Exercise12_10,large
Real.channelCapacity_channelComp_le_min,Exercise12_10,large
Real.channelCapacity_erasureChannel_lt_bscChannel_at_one,Exercise12_9,large
Real.condEntropy_le_marginalFst,Theorem11_3,large
Real.entropy_add_marginal_eq_iff,Exercise11_5 Theorem11_3,large
Real.entropy_conditioning_le,Theorem11_3,large
Real.entropy_le_add_marginal,Exercise11_5 Theorem11_3,large
Real.entropy_triple_add_marginal_eq_iff,Exercise11_6 Theorem11_3,large
Real.entropy_triple_add_marginal_le,Exercise11_6 Theorem11_3,large
Real.erasureChannel_capacity_gt_bsc,Exercise12_9,large
Real.erasureChannel_channelCapacity,Exercise12_9,large
Real.mutualInfo_eq_zero_iff,Theorem11_3,large
Real.mutualInfo_marginalFstLast_le_marginalFstMid,Theorem11_5,large
Real.mutualInfo_nonneg,Theorem11_3,large
Real.sum_mul_entropy_le_entropy_convexCombination,Exercise11_21,large
TensorProduct.concaveAt_trace_one_sub_isPositive,Theorem11_11,large
TensorProduct.concaveOn_trace_one_sub_isPositive,Theorem11_11,large
AxQM.Concrete.cssStabilizer_isCorrectableErrorSet_of_correctsErrors,Exercise10_51,very-large
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_bigO,Theorem10_6,very-large
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le,Exercise10_40,very-large
AxQM.Evolution.exists_pauliString_trotter_circuit_gateCount,Problem4_3,very-large
AxQM.OneWayLOCC.of_exists_transforms_pureState,Proposition12_14,very-large
AxQM.OneWayLOCC.of_transforms_pureState,Proposition12_14,very-large
AxQM.PureState.convertibleNoComm_iff_exists_sameNonzeroSpectrum_tmul,Exercise12_22,very-large
AxQM.PureState.distillableEntanglement_reducedLeft_le,Exercise12_23,very-large
AxQM.PureState.eavesdropper_mutualInfo_le_vonNeumannEntropy,Exercise12_31,very-large
AxQM.State.angle_channel_le,Exercise9_18,very-large
AxQM.State.coherentInfoComp_le_coherentInfo,Theorem12_10,very-large
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,Exercise12_15,very-large
AxQM.State.coherentInfo_le_vonNeumannEntropy,Theorem12_10,very-large
AxQM.State.condEntropy_add_le_add,Problem11_4,very-large
AxQM.State.condVonNeumannEntropy_concave,Corollary11_13 Exercise11_25,very-large
AxQM.State.conditioning_reduces_vonNeumannEntropy',Theorem11_15,very-large
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,Exercise12_15,very-large
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,Exercise12_15,very-large
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,Exercise12_15,very-large
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,Exercise12_15,very-large
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,Exercise12_15,very-large
AxQM.State.entropyExchange_dilatedChannel_le_vonNeumannEntropy_add_dilatedChannelComp,Exercise12_15,very-large
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,Exercise12_15,very-large
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,Exercise12_15,very-large
AxQM.State.fidelity_evolve,Exercise9_14,very-large
AxQM.State.fidelity_le_fidelity_channel,Theorem9_6,very-large
AxQM.State.holevoChi_dilatedChannel_le,Problem12_1,very-large
AxQM.State.holevoChi_reducedLeft_le,Problem12_1,very-large
AxQM.State.mutualInfo_qubit_tensorPow_le,Exercise12_3,very-large
AxQM.State.quantumRelativeEntropy_jointly_convex_of_hasSupportLE,Theorem11_12,very-large
AxQM.State.quantumRelativeEntropy_jointly_convex_sum_of_hasSupportLE,Theorem11_12,very-large
AxQM.State.quantumRelativeEntropy_reduced_le_of_hasSupportLE,Theorem11_17,very-large
AxQM.State.vonNeumannEntropy_add_le_add',Theorem11_14,very-large
AxQM.State.vonNeumannEntropy_cond_subadditive_first,Theorem11_16,very-large
AxQM.State.vonNeumannEntropy_cond_subadditive_second,Theorem11_16,very-large
AxQM.State.vonNeumannEntropy_dilatedChannel_le_dilatedChannelComp_add_entropyExchange,Exercise12_15,very-large
AxQM.State.vonNeumannEntropy_joint_cond_subadditive,Theorem11_16,very-large
AxQM.State.vonNeumannEntropy_le_crossEnvEntropy_add_entropyExchange_dilatedChannel,Exercise12_15,very-large
AxQM.State.vonNeumannEntropy_le_dilatedChannelComp_add_entropyExchangeComp,Exercise12_15,very-large
AxQM.State.vonNeumannEntropy_le_dilatedChannel_add_entropyExchange,Exercise12_15,very-large
AxQM.State.vonNeumannEntropy_mix_eq_reducedRight_sub_reducedLeft_iff,Exercise11_16,very-large
AxQM.State.vonNeumannEntropy_mix_le',Theorem11_10,very-large
AxQM.State.vonNeumannEntropy_sub_dilatedChannel_add_entropyExchange_eq_zero_of_perfectCorrection,Exercise12_16,very-large
AxQM.State.vonNeumannEntropy_weakMonotonicity,Exercise11_24 Theorem11_14,very-large
AxQM.State.vonNeumannMutualInfo_add_le_two_mul_vonNeumannEntropy,Exercise11_26,very-large
AxQM.State.vonNeumannMutualInfo_dilatedChannelOnRight_le,Theorem11_15,very-large
AxQM.State.vonNeumannMutualInfo_le_of_discard',Theorem11_15,very-large
AxQM.bornProb_qtowerControlMeasurement_qftCircuit_nearestBin_prime_ge,Problem5_1,very-large
AxQM.channelHolevoChi_eq_productStateCapacity,Theorem12_8,very-large
AxQM.cnx_circuitBudget,Exercise4_29,very-large
AxQM.computablePhaseShiftCircuit_circuitBudget,Problem4_1,very-large
AxQM.exists_phase_smul_toEuclideanCLM_mem_closure_dataRegisterOp_deutschReachableEvolutions,Exercise4_44,very-large
AxQM.exists_reliable_ensembleCompression,Exercise12_8,very-large
AxQM.holevoBound_of_chi_monotone,Problem12_1,very-large
AxQM.holevo_bound,Theorem12_1,very-large
AxQM.hsCnotToffoli_measurement_universal,Exercise4_43,very-large
AxQM.isRandomUnitary_of_isChannel_isUnital,Problem8_3,very-large
AxQM.mcCtrl_controlledUnitary_circuitBudget,Exercise4_30,very-large
AxQM.measurementResourceSetWires_realizes_of_universal,Problem4_6,very-large
AxQM.no_cloning,Problem12_2,very-large
AxQM.pauliStringExpCircuit_circuitBudget,Problem4_3,very-large
AxQM.replaceMix_existsUnique_fixedPoint,Exercise9_11,very-large
AxQM.semiclassicalMeasuredQft_bornProb_eq,Problem5_2,very-large
AxQM.toffoliDataMeasurement_corrected_reducedLeft_toffoliTeleportPreMeasureGen,Exercise10_68_FTToffoli,very-large
ContinuousLinearMap.quantumRelativeEntropy_sum_smul_smul_le_of_hasSupportLE,Problem11_2,very-large
ContinuousLinearMap.quantumRelativeEntropy_sum_smul_smul_le_relativeEntropy_of_hasSupportLE,Problem11_2,very-large
Real.channelOpCapacity_eq_channelCapacity_div,Theorem12_7,very-large
