from_task,to_task
AxQM.nmrGroverOracleZero_eq_globalPhaseGate_comp,AxQM.nmrControlledZ_globalPhase_eq_controlledZGate
AxQM.nmrGroverOracleZero_evolve_eq_groverOracleZero,AxQM.nmrGroverOracleZero_eq_globalPhaseGate_comp
AxQM.nmrSwapCircuit_evolve_eq_swap,AxQM.Concrete.hadamardC_eq_expPiDivTwo_smul_rotX_rotY
AxQM.nmrSwapCircuit_evolve_eq_swap,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.nmrSwapCircuit_evolve_eq_swap,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.nmrSwapCircuit_evolve_eq_swap,AxQM.Concrete.rotX_eq
AxQM.nmrSwapCircuit_evolve_eq_swap,AxQM.cnotGate_eq_hadamard_conj_controlledZGate
AxQM.nmrSwapCircuit_evolve_eq_swap,AxQM.nmrControlledZ_globalPhase_eq_controlledZGate
AxQM.no_cloning,AxQM.State.holevoChi_dilatedChannel_le
AxQM.no_cloning,AxQM.State.vonNeumannEntropy_tmul
AxQM.no_cloning,AxQM.holevoChi_lt_holevoChi_clone
AxQM.not_condEntropyPairGivenC_ge_condEntropyFirstGivenC_sub_condEntropySecondGivenC,AxQM.State.vonNeumannEntropy_tmul
AxQM.not_condEntropyPairGivenC_ge_condEntropyFirstGivenC_sub_condEntropySecondGivenC,AxQM.bellState_reducedLeft
AxQM.not_strictlyContractive_bitFlipChannel,AxQM.rotAxisGate_evolve_blochState
AxQM.orZeroError_bornProb_query_lower_bound,AxQM.Concrete.orPoly_represents_orFun
AxQM.orZeroError_bornProb_query_lower_bound,MvPolynomial.IsMultilinear.eq_of_forall_eval_boolean
AxQM.oracleBellState_bornProb,AxQM.bellBasis_apply
AxQM.orderEigenstate_sum_eq_one,AxQM.orderEigenstate_reconstruct
AxQM.pauliDepolarizingChannel_fidelity_ket0,AxQM.State.exists_blochState
AxQM.pauliDepolarizingChannel_fidelity_ket0,AxQM.blochState_isPure_iff_norm_one
AxQM.pauliDepolarizingChannel_fidelity_ket0,AxQM.rotAxisGate_evolve_blochState
AxQM.pauliDepolarizingChannel_isLeast_fidelity,AxQM.State.exists_blochState
AxQM.pauliDepolarizingChannel_isLeast_fidelity,AxQM.blochState_isPure_iff_norm_one
AxQM.pauliDepolarizingChannel_isLeast_fidelity,AxQM.rotAxisGate_evolve_blochState
AxQM.pauliObservable_hasEigenstate_neg_one,AxQM.Observable.op_mul_projMinus
AxQM.pauliObservable_hasEigenstate_one,AxQM.Observable.op_mul_projPlus
AxQM.pauliStringExpCircuit_op_eq_propagator,AxQM.Concrete.hadamardC_mul_pauliX_mul_hadamardC
AxQM.pauliStringExpCircuit_op_eq_propagator,AxQM.Concrete.hadamardC_mul_pauliY_mul_hadamardC
AxQM.pauliStringExpCircuit_op_eq_propagator,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.pauliStringExpCircuit_op_eq_propagator,AxQM.Concrete.sMatrix_conj_pauliX
AxQM.pauliStringExpCircuit_op_eq_propagator,AxQM.Concrete.sMatrix_conj_pauliZ
AxQM.pauliStringHamiltonian_xyz_propagator_eq_conj,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.pauliStringHamiltonian_xyz_propagator_eq_conj,AxQM.Concrete.sMatrix_conj_pauliX
AxQM.phaseFlipCodeProj_eq_projPlus_comp,AxQM.Concrete.pauliX_mulVec_xMinus
AxQM.phaseFlipCodeProj_eq_projPlus_comp,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.phaseFlipCode_satisfiesQECConditions_fullErrorSet,AxQM.Concrete.pauliZ_eq_outerSelf_sub
AxQM.phaseFlipCode_satisfiesQECConditions_fullErrorSet,AxQM.phaseFlipCode_satisfiesQECConditions
AxQM.properNmrCnot_evolve_eq_cnotGate,AxQM.nmrCnot_globalPhase_correction_eq_cnotGate
AxQM.qftEvolution_evolvePure_quditBasis_zero_two_pow,AxQM.qftEvolution_evolvePure_quditBasis_zero
AxQM.qubitClassicalSource_reliablyCompressible,AxQM.qubitClassicalSource_vonNeumannEntropy
AxQM.qubitClassicalSource_reliablyCompressible,Real.exists_le_sum_typicalSeq
AxQM.qubitClassicalSource_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.qubitDepolarizingChannel_strictlyContractive,AxQM.qubitDepolarizingChannel_traceDistance
AxQM.qubitDepolarizingChannel_traceDistance,AxQM.State.exists_blochState
AxQM.qubitDepolarizingChannel_traceDistance,AxQM.qubitDepolarizingChannel_blochState_traceDistance
AxQM.qubitMinusI_hasEigenstate_pauliY,AxQM.Concrete.pauliY_mulVec_yMinus
AxQM.qubitMinus_hasEigenstate_pauliX,AxQM.Concrete.pauliX_mulVec_xMinus
AxQM.qubitPlusI_hasEigenstate_pauliY,AxQM.Concrete.pauliY_mulVec_yPlus
AxQM.qubitPlus_hasEigenstate_pauliX,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.replaceMix_existsUnique_fixedPoint,AxQM.IsChannel.exists_fixedPoint
AxQM.replaceMix_existsUnique_fixedPoint,AxQM.replaceMix_strictlyContractive
AxQM.replaceMix_strictlyContractive,AxQM.traceDistance_channel_le
AxQM.rotXGate_onRight_comm_cnotGate,AxQM.Concrete.rotX_eq
AxQM.rzThreeFifthsCircuit_bothZero_bornProb,AxQM.rzThreeFifthsCircuit_success_eq_rotZ
AxQM.rzThreeFifthsCircuit_success_eq_rotZ,AxQM.rzThreeFifthsAngle_cos
AxQM.satisfiesQECConditions_iff_exists_correction,ContinuousLinearMap.satisfiesKLConditions_iff_exists_correction
AxQM.searchSimulationStep_op,AxQM.Concrete.rotAxis_mul_rotAxis
AxQM.searchStepEvolution_exactSearch,AxQM.Concrete.rotAxis_mul_rotAxis
AxQM.searchStepEvolution_exactSearch,AxQM.searchSimulationStep_op
AxQM.search_bornProb_averaged_success_imp_queries_ge,Orthonormal.two_mul_card_sub_two_mul_sqrt_card_le_sum_norm_sub_sq
AxQM.semiclassicalMeasuredQft_bornProb_eq,AxQM.PureState.isProduct_iff_isPure_reducedLeft
AxQM.semiclassicalMeasuredQft_bornProb_eq,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.semiclassicalMeasuredQft_bornProb_eq,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.semiclassicalMeasuredQft_bornProb_eq,AxQM.State.vonNeumannEntropy_nonneg
AxQM.semiclassicalMeasuredQft_bornProb_eq,AxQM.controlMeasurement_commute_postMeasurement
AxQM.shorSyndromeCircuit_measures,AxQM.measureObservableCircuit_op_qubitBasisZero_tmul
AxQM.sixStateState_hasEigenstate,AxQM.qubitBasis_one_hasEigenstate_pauliZ
AxQM.sixStateState_hasEigenstate,AxQM.qubitKet0_hasEigenstate_pauliZ
AxQM.sixStateState_hasEigenstate,AxQM.qubitMinusI_hasEigenstate_pauliY
AxQM.sixStateState_hasEigenstate,AxQM.qubitMinus_hasEigenstate_pauliX
AxQM.sixStateState_hasEigenstate,AxQM.qubitPlusI_hasEigenstate_pauliY
AxQM.sixStateState_hasEigenstate,AxQM.qubitPlus_hasEigenstate_pauliX
AxQM.sixState_bornProb_matchedBasis,AxQM.Observable.projMinus_apply_eq_self
AxQM.sixState_bornProb_matchedBasis,AxQM.sixStateState_hasEigenstate
AxQM.sixState_bornProb_mismatchedBasis_uncorrelated,AxQM.sixStateState_hasEigenstate
AxQM.stdDev_pauliX_qubitBasis_zero,AxQM.expectation_pauliX_qubitBasis_zero
AxQM.steaneEncodedHadamard_action,AxQM.steaneLogicalXBar_evolvePure_logicalOne
AxQM.steaneEncodedHadamard_action,AxQM.steaneLogicalXBar_evolvePure_logicalZero
AxQM.steaneLogicalZero_eq_of_stabilized,AxQM.cssStabilizedSpace_eq_cssCodeSpace
AxQM.steaneZeroStabilizer_hasEigenstate_one_logicalZero,AxQM.steaneStabilizer_hasEigenstate_one_logicalZero
AxQM.toffoliAncillaStabX1_hasEigenstate_one,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.toffoliAncillaStabX1_hasEigenstate_one,AxQM.toffoliGate_comp_pauliXGate_control_propagates
AxQM.toffoliAncillaStabX2_hasEigenstate_one,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.toffoliAncillaStabZ3_hasEigenstate_one,AxQM.toffoliGate_comp_pauliZGate_target_propagates
AxQM.toffoliAncilla_eq_of_stabilized,AxQM.toState_evolvePure
AxQM.toffoliAncilla_eq_of_stabilized,AxQM.toffoliGate_comp_pauliXGate_control_propagates
AxQM.toffoliAncilla_eq_of_stabilized,AxQM.toffoliGate_comp_pauliZGate_target_propagates
AxQM.toffoliDataMeasurement_corrected_reducedLeft_toffoliTeleportPreMeasureGen,AxQM.toState_evolvePure
AxQM.toffoliDataMeasurement_corrected_reducedLeft_toffoliTeleportPreMeasureGen,AxQM.toffoliAncilla_vec
AxQM.toffoliFig49Circuit_eq_toffoliGate,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.traceDistance_channel_le,ContinuousLinearMap.satisfiesOperationAxioms_iff_isOperatorSum
AxQM.traceDistance_qubitMix_xBasis,AxQM.blochPureState_toState_eq_blochState
AxQM.traceDistance_qubitMix_zBasis,AxQM.blochPureState_toState_eq_blochState
AxQM.transversalCoupling_zsxGate_comm_ancillaPhaseError,AxQM.transversalCoupling_comm_transversalAncillaPhaseError
AxQM.twoSpin_state_eq_of_expectation_nineExperiments,AxQM.Concrete.tomographyComplete_univ
AxQM.vonNeumannEntropy_entropyComparisonState,AxQM.Observable.op_mul_projMinus
AxQM.vonNeumannEntropy_entropyComparisonState,AxQM.Observable.op_mul_projPlus
AxQM.vonNeumannEntropy_entropyComparisonState_le,AxQM.vonNeumannEntropy_entropyComparisonState
AxQM.vonNeumannEntropy_entropyComparisonState_lt,AxQM.vonNeumannEntropy_entropyComparisonState
AxQM.vonNeumannEntropy_entropyExampleMixedState,AxQM.Observable.op_mul_projMinus
AxQM.vonNeumannEntropy_entropyExampleMixedState,AxQM.Observable.op_mul_projPlus
AxQM.vonNeumannEntropy_entropyExamplePlusState,AxQM.blochState_isPure_iff_norm_one
AxQM.vonNeumannEntropy_entropyExampleZeroState,AxQM.blochState_isPure_iff_norm_one
AxQM.xixObservable_hasEigenstate_one_phaseFlipCodewordState,AxQM.Concrete.pauliX_mulVec_xMinus
AxQM.xixObservable_hasEigenstate_one_phaseFlipCodewordState,AxQM.Concrete.pauliX_mulVec_xPlus
AxQM.xxIObservable_hasEigenstate_one_phaseFlipCodewordState,AxQM.Concrete.pauliX_mulVec_xMinus
AxQM.xxIObservable_hasEigenstate_one_phaseFlipCodewordState,AxQM.Concrete.pauliX_mulVec_xPlus
CStarMatrix.exists_expUnitary_eq_of_mem_unitary,CStarMatrix.expUnitary_argSelfAdjoint
ContinuousLinearMap.adjoint_absoluteValue_eq_of_comp_unitary,ContinuousLinearMap.absoluteValue_eq_of_unitary_comp
ContinuousLinearMap.exists_krausSumₗ_eq_fin_finrank_sq,ContinuousLinearMap.exists_krausSumₗ_eq_fin_finrank
ContinuousLinearMap.isGLB_albertiProduct,ContinuousLinearMap.isGreatest_norm_trace_mul_unitary
ContinuousLinearMap.krausDiagonalize_card_ne_zero_le_sq,ContinuousLinearMap.krausGram_krausDiagonalize
ContinuousLinearMap.quantumRelativeEntropy_jointConvex_of_subadditive_of_hasSupportLE,ContinuousLinearMap.quantumRelativeEntropy_smul_smul_of_hasSupportLE
ContinuousLinearMap.quantumRelativeEntropy_subadditive_of_jointConvex_of_hasSupportLE,ContinuousLinearMap.quantumRelativeEntropy_smul_smul_of_hasSupportLE
ContinuousLinearMap.quantumRelativeEntropy_sum_smul_smul_le_of_hasSupportLE,ContinuousLinearMap.quantumRelativeEntropy_smul_smul_of_hasSupportLE
ContinuousLinearMap.quantumRelativeEntropy_sum_smul_smul_le_of_hasSupportLE,ContinuousLinearMap.quantumRelativeEntropy_subadditive_of_jointConvex_of_hasSupportLE
ContinuousLinearMap.quantumRelativeEntropy_sum_smul_smul_le_relativeEntropy_of_hasSupportLE,ContinuousLinearMap.quantumRelativeEntropy_sum_smul_smul_le_of_hasSupportLE
ContinuousLinearMap.satisfiesKLConditions_iff_exists_correction,ContinuousLinearMap.krausSumₗ_eq_iff_exists_mem_unitaryGroup
ContinuousLinearMap.unitary_factor_unique_of_isUnit,ContinuousLinearMap.absoluteValue_eq_of_unitary_comp
IsStarProjection.kronecker,Matrix.IsHermitian.kronecker
LinearMap.exists_unitary_proj_krausComplement,ContinuousLinearMap.sum_adjoint_krausAugment_comp_self
LinearMap.isSelfAdjoint_of_forall_inner_map_self_nonneg,LinearMap.isSymmetric_of_forall_inner_map_self_nonneg
Matrix.IsHermitian.eq_polarUnitary_mul_sqrt_conjTranspose_mul_self,Matrix.IsHermitian.sqrt_conjTranspose_mul_self
Matrix.IsHermitian.majorize_iff_exists_sum_smul_unitary_conj,convex_setOf_majorize
Matrix.IsHermitian.majorize_iff_exists_sum_smul_unitary_conj,majorize_iff_exists_sum_perm
Matrix.PosSemidef.eq_one_mul_sqrt_conjTranspose_mul_self,Matrix.PosSemidef.sqrt_conjTranspose_mul_self
Matrix.eq_mul_sqrt_conjTranspose_mul_self_of_mem_unitaryGroup,Matrix.sqrt_conjTranspose_mul_self_of_mem_unitaryGroup
Matrix.hammingCode_correctsErrors_one,Matrix.hammingCode_minDist
Matrix.hammingCode_finrank,Matrix.hammingCode_length
Matrix.hammingCode_minDist,Matrix.minDist_ker_eq_of_columns
Matrix.not_forall_trace_conjTranspose_mul_eq_star_maxEntVec_dotProduct_kronecker,Matrix.star_maxEntVec_dotProduct_kronecker
Nat.Primes.tsum_one_div_sq_le,two_div_three_mul_sq_le_integral_one_div_sq
OrthonormalBasis.diagonalOperator_norm_eq_absoluteValue,ContinuousLinearMap.absoluteValue_eq_of_unitary_comp
OrthonormalBasis.diagonalOperator_norm_eq_absoluteValue,OrthonormalBasis.diagonalOperator_eq_phase_comp_norm
OrthonormalBasis.diagonalOperator_norm_eq_absoluteValue,OrthonormalBasis.diagonalOperator_norm_isPositive
OrthonormalBasis.diagonalOperator_norm_eq_absoluteValue,OrthonormalBasis.diagonalOperator_phase_mem_unitary
Real.channelCapacity_channelComp_bscChannel_lt_min,Real.mutualInfo_le_marginalSnd
Real.channelCapacity_channelComp_le_min,Real.isMarkovChain_reverseTriple
Real.channelCapacity_channelComp_le_min,Real.mutualInfo_le_marginalSnd
Real.channelCapacity_channelComp_le_min,Real.mutualInfo_marginalFstLast_le_marginalFstMid
Real.channelCapacity_channelComp_le_min,Real.mutualInfo_swap
Real.channelCapacity_erasureChannel_lt_bscChannel_at_one,Real.erasureChannel_channelCapacity
Real.channelCapacity_erasureChannel_lt_bscChannel_at_one,Real.mutualInfo_le_marginalSnd
Real.channelOpCapacity_eq_channelCapacity_div,Real.entropy_le_add_marginal
Real.channelOpCapacity_eq_channelCapacity_div,Real.exists_le_sum_typicalSeq
Real.channelOpCapacity_eq_channelCapacity_div,Real.isMarkovChain_reverseTriple
Real.channelOpCapacity_eq_channelCapacity_div,Real.mutualInfo_le_marginalSnd
Real.channelOpCapacity_eq_channelCapacity_div,Real.mutualInfo_marginalFstLast_le_marginalFstMid
Real.channelOpCapacity_eq_channelCapacity_div,Real.mutualInfo_swap
Real.concaveOn_binEntropyBit,Real.strictConcaveOn_binEntropyBit
Real.condEntropy_le_marginalFst,Real.mutualInfo_nonneg
Real.condEntropy_marginalFstLast_le_condEntropyPairGivenLast,Real.entropy_marginalFst_le
Real.condEntropy_nonneg,Real.entropy_marginalFst_le
Real.condEntropy_nonneg,Real.entropy_swap
Real.entropy_add_marginal_eq_iff,Real.mutualInfo_eq_zero_iff
Real.entropy_conditioning_le,Real.entropy_triple_add_marginal_le
Real.entropy_triple_add_marginal_eq_iff,Real.relativeEntropy_eq_zero_iff
Real.erasureChannel_capacity_gt_bsc,Real.erasureChannel_channelCapacity
Real.erasureChannel_capacity_gt_bsc,Real.mutualInfo_le_marginalSnd
Real.erasureChannel_channelCapacity,Real.mutualInfo_le_marginalSnd
Real.exists_card_typicalSeq_bounds,Real.exists_le_sum_typicalSeq
Real.exists_sum_prod_le_of_card_le_exp,Real.exists_le_sum_typicalSeq
Real.exists_typicalCode_expectedLength_le,Real.exists_le_sum_typicalSeq
Real.isGreatest_range_binEntropyBit,Real.binEntropyBit_two_inv
Real.mutualInfo_eq_marginalSnd_iff_sndDeterminedByFst,Real.entropy_marginalFst_eq_iff_sndDeterminedByFst
Real.mutualInfo_eq_zero_iff,Real.relativeEntropy_eq_zero_iff
Real.mutualInfo_le_marginalSnd,Real.entropy_marginalFst_le
Real.mutualInfo_marginalFstLast_le_marginalFstMid,Real.entropy_conditioning_le
Real.mutualInfo_marginalFstLast_le_marginalFstMid,Real.entropy_swap
Real.mutualInfo_marginalFstMid_eq_marginalFst_iff,Real.mutualInfo_eq_marginalSnd_iff_sndDeterminedByFst
Real.mutualInfo_marginalFstMid_eq_marginalFst_iff,Real.mutualInfo_swap
Real.mutualInfo_marginalFstMid_le_marginalFst,Real.condEntropy_nonneg
Real.mutualInfo_swap,Real.entropy_swap
Real.not_forall_mutualInfo_superadditive,Real.exists_mutualInfo_not_superadditive_counterexample
Real.not_reliable_compressionScheme,Real.exists_sum_prod_le_of_card_le_exp
Real.relativeEntropy_condEntropyRef_eq_zero_iff,Real.entropy_marginalFst_eq_iff_sndDeterminedByFst
Real.relativeEntropy_condEntropyRef_eq_zero_iff,Real.entropy_sub_entropy_marginalFst_eq_relativeEntropy
SpontaneousEmission.deriv_spontaneousDecayProb_eq_gammaRad,SpontaneousEmission.spontaneousDecayProb_eq_gammaRad_mul
TensorProduct.concaveOn_trace_one_sub_isPositive,TensorProduct.concaveAt_trace_one_sub_isPositive
eq_zero_of_lie_eq_zero_of_anticommutator_eq_zero,mul_eq_invOf_two_mul_lie_add_anticommutator
majorize_iff_exists_sum_perm,convex_setOf_majorize
repetitionCode_finrank,repetitionGenerator_mulVec
repetitionParityCheck_ker,repetitionGenerator_mulVec
repetitionParityCheck_row_linearIndependent,repetitionCode_finrank
repetitionParityCheck_row_linearIndependent,repetitionParityCheck_ker
